Location,Outbreak,Latitude,Longitude,Cases2008,Fatalities2008,Source2008,Link2008,Cases2009,Fatalities2009,Source2009,Link2009,Cases2010,Fatalities2010,Source2010,Link2010,Cases2011,Fatalities2011,Source2011,Link2011,Cases2012,Fatalities2012,Source2012,Link2012,Cases2013,Fatalities2013,Source2013,Link2013,Cases2014,Fatalities2014,Source2014,Link2014,Cases2015,Fatalities2015,Source2015,Link2015
Alaska,Whooping Cough,64,-150,,,,,,,,,,,,,,,,,,,,,,,,,130,0,"Newsminer.com. ""More than 100 cases of whooping cough reported in 2014 in Alaska."" January 4, 2015.",http://www.newsminer.com/features/health/more-than-cases-of-whooping-cough-reported-in-in-alaska/article_55b07906-94b4-11e4-bab0-2f9260573e86.html,,,,
Arizona,Whooping Cough,34,-112,,,,,,,,,,,,,,,,,,,,,12000,0,"McClay, Bob. ""Whooping cough outbreak concerns Arizona health officers."" KTAR. November 14, 2013. ",http://ktar.com/22/1677183/Whooping-cough-outbreak-concerns-Arizona-health-officers,,,,,,,,
California,Whooping Cough,37,-120,,,,,,,,,5270,9,"Doheny, Kathleen. ""Unraveling the Whooping Cough Epidemic."" WebMD. October 1, 2010. ",http://www.webmd.com/children/vaccines/features/california-whooping-cough-epidemic,,,,,,,,,,,,,10831,1,"Herriman, Robert. ""California pertussis cases top 10,000 for 2014."" Outbreak News Today. January 12, 2015.",http://outbreaknewstoday.com/california-pertussis-cases-top-10000-for-2014/,23,2,"Lodi News-Sentinel. ""San Joaquin County reports death from whooping cough ."" March 6, 2015. ",http://www.lodinews.com/news/article_691509ea-c3d9-11e4-9b64-bbc28dc835c9.html
California,Measles,37,-120,,,,,,,,,,,,,28,0,"Gorman, Ana . ""California leads U.S. in measles cases."" Los Angles Times, September 22, 2011.","http://www.latimes.com/news/local/la-me-measles-20110922,0,6705186.story",,,,,,,,,22,0,"Simmins, Charles.""Measles cases continue to increase."" Health Examiner. April 12, 2014.",http://www.examiner.com/article/measles-cases-continue-to-increase,129,0,"California Department of Public Health. ""Measles.""March 6, 2015.",http://www.cdph.ca.gov/HealthInfo/discond/Documents/Measles_update_3_-_6_-_2015_public.pdf
California,Mumps,37,-120,,,,,,,,,,,,,,,,,29,0,"""Mumps Outbreak on a University Campus - California."" Morbidity and Mortality Weekly Report, October 7, 2012.",http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6148a2.htm?s_cid=mm6148a2_e,,,,,,,,,,,,
Colorado,Whooping Cough,39,-105.5,,,,,,,,,,,,,,,,,1510,0,"Centers for Disease Control and Prevention, ""Pertussis (whooping cough) outbreaks,"" January 9, 2013.",http://www.cdc.gov/pertussis/outbreaks.html,,,,,116,0,"CBS Denver. ""Whooping Cough Cases Rise in Weld County, Impact Schools."" October 3, 2014.",http://denver.cbslocal.com/2014/10/03/whooping-cough-cases-rise-in-weld-county-impact-schools/,,,,
Delaware,Whooping Cough,39,-75.5,,,,,,,,,,,,,,,,,,,,,,,,,48,0,"Montgomery, Jeff and Bothum, Kelly. ""Whooping cough hits Kent County Amish community."" Delaware Online. February 7, 2014.",http://www.delawareonline.com/article/20140208/HEALTH/302080029/Whooping-cough-hits-Kent-County-Amish-community,,,,
Florida,Chicken Pox,28.1,-81.6,,,,,,,,,41,0,"Redlup, Tina. ""Chickenpox outbreak in Florida."" May 12, 2010.",http://vaccinenewsdaily.com/news/213007-chickenpox-outbreak-in-florida,,,,,,,,,,,,,,,,,,,,
Florida,Whooping Cough,28.1,-81.6,,,,,,,,,,,,,,,,,40,0,"Maher, Irene. ""Whooping Cough Hits Hillsborough."" The Ledger. June 2, 2012.",http://www.theledger.com/article/20120602/NEWS/120609903/1374,,,,,,,,,,,,
Georgia,Whooping Cough,32.5,-83,,,,,,,,,247,0,"Georgia Department of Public Health. ""Annual Vaccine Preventable Diseases Surveillance Report Ð Georgia, 2010."" 2010.",http://dph.georgia.gov/sites/dph.georgia.gov/files/related_files/site_page/ADES_2010_VPD_Report.pdf,,,,,,,,,,,,,,,,,,,,
